Bus,Lat,Lon
26,41.87627557,-87.62440503
26,41.88360785,-87.62465179
26,41.77151972,-87.56662488
26,41.76977534,-87.56659269
26,41.76779485,-87.56653905
26,41.76628243,-87.56606162
26,41.76562624,-87.56221533
26,41.76386569,-87.56047726
26,41.76215712,-87.55878747
26,41.76036046,-87.55700648
26,41.75859577,-87.55523086
26,41.75686304,-87.55336404
26,41.75497419,-87.55134702
26,41.75208079,-87.54826248
26,41.75002771,-87.54806936
26,41.7482067,-87.54804254
26,41.74638964,-87.54798889
26,41.74488873,-87.54795134
26,41.75326538,-87.54947484
26,41.76628243,-87.56417334
20,41.88138325,-87.66855097
20,41.88455917,-87.62081623
20,41.88702727,-87.62083769
20,41.8820071,-87.64731646
20,41.88157176,-87.65489638
20,41.88097666,-87.70313859
20,41.88139044,-87.66704249
20,41.88034801,-87.77401757
20,41.88103498,-87.69595778
20,41.88112045,-87.6889658
20,41.88016987,-87.76474357
20,41.8808209,-87.71599174
20,41.88047342,-87.74497569
20,41.88125784,-87.6767242
20,41.88101261,-87.69856274
20,41.88074341,-87.72017276
20,41.88089279,-87.71077752
20,41.88124426,-87.67931521
20,41.88064516,-87.72782564
20,41.88093672,-87.70641625
20,41.8806172,-87.73045421
20,41.88051735,-87.74072707
20,41.8805533,-87.73758888
20,41.88062519,-87.73320079
20,41.88050537,-87.74300694
20,41.88059324,-87.7352339
20,41.88142399,-87.66418219
20,41.88036159,-87.75533974
20,41.8804175,-87.74906337
20,41.88122828,-87.68121958
20,41.88040153,-87.75237322
20,41.88031765,-87.7578181
20,41.88027771,-87.76003897
20,41.88145594,-87.66201496
20,41.88024576,-87.7619648
20,41.88162369,-87.65191376
20,41.88117237,-87.68410563
20,41.88135929,-87.66951978
20,41.88166762,-87.64981627
20,41.88022579,-87.76322007
20,41.88065714,-87.72593737
20,41.88153582,-87.65731573
20,41.88100063,-87.70090699
20,41.88091276,-87.70857811
20,41.88067679,-87.72337979
20,41.88084486,-87.71373868
20,41.88107252,-87.69227028
20,41.88149987,-87.65977263
20,41.88129458,-87.67424583
20,41.88105833,-87.69419167
20,41.8811484,-87.68618166
20,41.88133452,-87.67187047
20,41.88804563,-87.62440503
20,41.88468697,-87.62435138
20,41.88669979,-87.62441576
20,41.88782998,-87.62095571
20,41.88798972,-87.62191594
20,41.88315734,-87.64001012
20,41.88318097,-87.63047595
20,41.88314296,-87.63555014
20,41.88312539,-87.64708042
20,41.88314536,-87.64285326
20,41.88316134,-87.63261795
20,41.88318131,-87.62746811
20,41.88455917,-87.62081623
20,41.88173552,-87.65425265
20,41.88103657,-87.7034229
20,41.88150946,-87.66656613
20,41.88016987,-87.77436733
20,41.88034801,-87.77401757
20,41.88110447,-87.69664764
20,41.88118834,-87.68888533
20,41.88032564,-87.76477575
20,41.8808848,-87.71598101
20,41.88053333,-87.74512589
20,41.88189128,-87.64103472
20,41.88136408,-87.67645597
20,41.8820325,-87.62908237
20,41.88108051,-87.69857347
20,41.88198381,-87.63588679
20,41.88181539,-87.64763832
20,41.8808169,-87.72097528
20,41.88094871,-87.7112174
20,41.88131615,-87.67891288
20,41.88186332,-87.64257431
20,41.88074102,-87.72852302
20,41.88100063,-87.70637333
20,41.88069788,-87.73103249
20,41.88058126,-87.74063587
20,41.88060922,-87.73840964
20,41.8806891,-87.7333349
20,41.88056927,-87.74263144
20,41.88065315,-87.73596346
20,41.88200111,-87.63294199
20,41.88155579,-87.66455233
20,41.88049339,-87.74749696
20,41.88042549,-87.75532365
20,41.88047342,-87.74999142
20,41.88126822,-87.68192232
20,41.88045744,-87.75244296
20,41.88037756,-87.75787711
