Year,Month,TempDiff
1926,7,-0.188
1926,8,-0.105
1926,9,-0.097
1926,10,-0.082
1926,11,-0.181
1926,12,-0.156
1927,1,-0.216
1927,2,-0.179
1927,3,-0.27
1927,4,-0.204
1927,5,-0.2
1927,6,-0.253
1927,7,-0.165
1927,8,-0.107
1927,9,-0.194
1927,10,-0.143
1927,11,-0.194
1927,12,-0.202
1928,1,-0.112
1928,2,-0.186
1928,3,-0.232
1928,4,-0.203
1928,5,-0.267
1928,6,-0.28
1928,7,-0.172
1928,8,-0.177
1928,9,-0.239
1928,10,-0.223
1928,11,-0.276
1928,12,-0.317
1929,1,-0.352
1929,2,-0.366
1929,3,-0.371
1929,4,-0.298
1929,5,-0.363
1929,6,-0.315
1929,7,-0.343
1929,8,-0.213
1929,9,-0.239
1929,10,-0.255
1929,11,-0.17
1929,12,-0.269
1930,1,-0.29
1930,2,-0.337
1930,3,-0.199
1930,4,-0.18
1930,5,-0.147
1930,6,-0.195
1930,7,-0.125
1930,8,-0.09
1930,9,-0.002
1930,10,-0.033
1930,11,0
1930,12,-0.046
1931,1,-0.014
1931,2,-0.057
1931,3,-0.064
1931,4,-0.107
1931,5,-0.1
1931,6,-0.074
1931,7,-0.06
1931,8,-0.081
1931,9,-0.061
1931,10,-0.162
1931,11,-0.183
1931,12,-0.182
1932,1,-0.17
1932,2,-0.106
1932,3,-0.113
1932,4,-0.161
1932,5,-0.157
1932,6,-0.214
1932,7,-0.147
1932,8,-0.195
1932,9,-0.093
1932,10,-0.244
1932,11,-0.216
1932,12,-0.168
1933,1,-0.173
1933,2,-0.177
1933,3,-0.236
1933,4,-0.176
1933,5,-0.175
1933,6,-0.259
1933,7,-0.209
1933,8,-0.221
1933,9,-0.293
1933,10,-0.252
1933,11,-0.317
1933,12,-0.358
1934,1,-0.312
1934,2,-0.392
1934,3,-0.39
1934,4,-0.206
1934,5,-0.21
1934,6,-0.049
1934,7,-0.066
1934,8,-0.082
1934,9,-0.036
1934,10,-0.17
1934,11,-0.117
1934,12,-0.217
1935,1,-0.157
1935,2,-0.235
1935,3,-0.29
1935,4,-0.133
1935,5,-0.16
1935,6,-0.151
1935,7,-0.165
1935,8,-0.184
1935,9,-0.162
1935,10,-0.166
1935,11,-0.188
1935,12,-0.22
1936,1,-0.244
1936,2,-0.123
1936,3,-0.224
1936,4,-0.153
1936,5,-0.162
1936,6,-0.175
1936,7,-0.117
1936,8,-0.082
1936,9,-0.106
1936,10,-0.087
1936,11,-0.177
1936,12,-0.139
1937,1,-0.099
1937,2,-0.009
1937,3,-0.047
1937,4,-0.051
1937,5,-0.073
1937,6,-0.025
1937,7,0.103
1937,8,0.061
1937,9,0.078
1937,10,0.02
1937,11,-0.033
1937,12,-0.013
1938,1,-0.06
1938,2,-0.055
1938,3,-0.042
1938,4,-0.081
1938,5,-0.157
1938,6,-0.059
1938,7,-0.102
1938,8,-0.006
1938,9,-0.053
1938,10,-0.029
1938,11,-0.155
1938,12,-0.23
1939,1,-0.178
1939,2,-0.137
1939,3,-0.177
1939,4,-0.103
1939,5,-0.113
1939,6,-0.016
1939,7,0.047
1939,8,0.024
1939,9,0.077
1939,10,-0.155
1939,11,-0.109
1939,12,-0.125
1940,1,0.028
1940,2,-0.085
1940,3,-0.1
1940,4,-0.004
1940,5,0.068
1940,6,-0.031
1940,7,0.1
1940,8,0.041
1940,9,0.059
1940,10,0.031
1940,11,-0.02
1940,12,0.094
1941,1,0.008
1941,2,-0.04
1941,3,-0.023
1941,4,0.057
1941,5,-0.015
1941,6,0.076
1941,7,0.057
1941,8,-0.012
1941,9,-0.038
1941,10,0.214
1941,11,0.179
1941,12,0.283
1942,1,0.173
1942,2,0.148
1942,3,0.079
1942,4,0.007
1942,5,0.081
1942,6,0.018
1942,7,0.033
1942,8,-0.071
1942,9,-0.047
1942,10,-0.109
1942,11,-0.104
1942,12,-0.04
1943,1,-0.081
1943,2,-0.092
1943,3,-0.153
1943,4,-0.095
1943,5,-0.05
1943,6,0.044
1943,7,-0.046
1943,8,0.108
1943,9,0
1943,10,0.077
1943,11,0.079
1943,12,0.146
1944,1,0.027
1944,2,0.076
1944,3,0.138
1944,4,0.111
1944,5,0.158
1944,6,0.166
1944,7,0.226
1944,8,0.24
1944,9,0.192
1944,10,0.169
1944,11,0.052
1944,12,0.197
1945,1,0.172
1945,2,0.136
1945,3,0.092
1945,4,0.089
1945,5,0.053
1945,6,0.127
1945,7,0.095
1945,8,0.179
1945,9,0.156
1945,10,0.192
1945,11,0.15
1945,12,0.173
1946,1,0.119
1946,2,-0.002
1946,3,0.167
1946,4,0.086
1946,5,-0.072
1946,6,-0.203
1946,7,-0.061
1946,8,-0.161
1946,9,0.007
1946,10,0.055
1946,11,-0.071
1946,12,-0.119
1947,1,0.045
1947,2,-0.103
1947,3,-0.097
1947,4,0.019
1947,5,-0.085
1947,6,-0.046
1947,7,0.021
1947,8,-0.042
1947,9,-0.095
1947,10,-0.167
1947,11,-0.032
1947,12,-0.096
1948,1,-0.119
1948,2,-0.147
1948,3,0.028
1948,4,-0.055
1948,5,0.041
1948,6,0.052
1948,7,-0.108
1948,8,0.016
1948,9,-0.097
1948,10,-0.061
1948,11,-0.088
1948,12,-0.087
1949,1,-0.002
1949,2,0.006
1949,3,-0.072
1949,4,0.01
1949,5,-0.027
1949,6,-0.155
1949,7,-0.052
1949,8,-0.046
1949,9,-0.075
1949,10,-0.113
1949,11,-0.092
1949,12,-0.053
1950,1,-0.089
1950,2,-0.134
1950,3,-0.123
1950,4,-0.083
1950,5,-0.053
1950,6,-0.082
1950,7,0.053
1950,8,-0.002
1950,9,-0.079
1950,10,-0.074
1950,11,-0.156
1950,12,-0.185
1951,1,-0.149
1951,2,-0.164
1951,3,-0.192
1951,4,-0.111
1951,5,-0.042
1951,6,0.106
1951,7,0.106
1951,8,0.194
1951,9,0.081
1951,10,0.131
1951,11,0.01
1951,12,0.05
1952,1,0.123
1952,2,0.175
1952,3,0.078
1952,4,0.106
1952,5,0.105
1952,6,0.085
1952,7,0.065
1952,8,0.095
1952,9,0.06
1952,10,0.071
1952,11,0.045
1952,12,0.028
1953,1,0.003
1953,2,0.079
1953,3,0.072
1953,4,0.148
1953,5,0.173
1953,6,0.15
1953,7,0.117
1953,8,0.095
1953,9,0.097
1953,10,0.047
1953,11,0.035
1953,12,0.052
1954,1,0.02
1954,2,0.022
1954,3,-0.016
1954,4,-0.1
1954,5,-0.116
1954,6,-0.099
1954,7,-0.202
1954,8,-0.124
1954,9,-0.123
1954,10,-0.142
1954,11,-0.12
1954,12,-0.175
1955,1,-0.08
1955,2,-0.135
1955,3,-0.106
1955,4,-0.153
1955,5,-0.236
1955,6,-0.226
1955,7,-0.133
1955,8,-0.107
1955,9,-0.128
1955,10,-0.246
1955,11,-0.225
1955,12,-0.19
1956,1,-0.144
1956,2,-0.138
1956,3,-0.148
1956,4,-0.168
1956,5,-0.17
1956,6,-0.234
1956,7,-0.196
1956,8,-0.157
1956,9,-0.185
1956,10,-0.157
1956,11,-0.142
1956,12,-0.11
1957,1,-0.123
1957,2,-0.033
1957,3,-0.001
1957,4,-0.001
1957,5,0.13
1957,6,0.093
1957,7,0.145
1957,8,0.163
1957,9,0.052
1957,10,0.028
1957,11,0.075
1957,12,0.072
1958,1,0.111
1958,2,0.174
1958,3,0.109
1958,4,0.086
1958,5,0.055
1958,6,0.077
1958,7,0.054
1958,8,0.095
1958,9,0.071
1958,10,0.051
1958,11,0.014
1958,12,0.089
1959,1,0.058
1959,2,0.051
1959,3,0.03
1959,4,0.05
1959,5,0.088
1959,6,0.031
1959,7,0.052
1959,8,0.084
1959,9,0.054
1959,10,0.055
1959,11,-0.025
1959,12,-0.033
1960,1,-0.032
1960,2,-0.031
1960,3,-0.01
1960,4,-0.059
1960,5,0.001
1960,6,-0.052
1960,7,0.058
1960,8,0.042
1960,9,0.077
1960,10,-0.025
1960,11,-0.018
1960,12,0.022
1961,1,0.037
1961,2,0.129
1961,3,0.101
1961,4,0.101
1961,5,0.089
1961,6,0.113
1961,7,0.064
1961,8,0.058
1961,9,-0.062
1961,10,0.022
1961,11,0.005
1961,12,-0.013
1962,1,-0.021
1962,2,0.021
1962,3,0.007
1962,4,0.015
1962,5,0.011
1962,6,-0.028
1962,7,0.072
1962,8,0.043
1962,9,0.006
1962,10,0.022
1962,11,-0.019
1962,12,-0.031
1963,1,-0.05
1963,2,-0.055
1963,3,-0.025
1963,4,0.023
1963,5,0.081
1963,6,0.035
1963,7,0.127
1963,8,0.151
1963,9,0.093
1963,10,0.108
1963,11,0.112
1963,12,0.08
1964,1,-0.019
1964,2,-0.03
1964,3,-0.091
1964,4,-0.104
1964,5,-0.112
1964,6,-0.06
1964,7,-0.12
1964,8,-0.247
1964,9,-0.258
1964,10,-0.17
1964,11,-0.272
1964,12,-0.288
1965,1,-0.17
1965,2,-0.139
1965,3,-0.202
1965,4,-0.146
1965,5,-0.154
1965,6,-0.149
1965,7,-0.16
1965,8,-0.08
1965,9,-0.052
1965,10,-0.028
1965,11,-0.03
1965,12,-0.014
1966,1,-0.004
1966,2,-0.007
1966,3,0.006
1966,4,0.033
1966,5,-0.085
1966,6,-0.005
1966,7,0.048
1966,8,0.008
1966,9,-0.024
1966,10,-0.011
1966,11,-0.013
1966,12,0.031
1967,1,-0.094
1967,2,-0.086
1967,3,-0.048
1967,4,-0.075
1967,5,0.016
1967,6,0.009
1967,7,-0.007
1967,8,-0.007
1967,9,-0.056
1967,10,-0.088
